,frequency,count,placement avg,placement std,points avg,points std,achievements avg
all,1.0,1206,1.6592039800995024,1.0799695845651438,85.49419568822555,9.358753834563032,2.0
zenemon,0.07711442786069651,93,1.3333333333333333,1.1041752118892743,82.43010752688173,10.275972237364936,1.6344086021505377
yoshiyasu,0.09286898839137644,112,1.5,1.0780362527123855,84.625,8.526720058437181,1.9017857142857142
chuubei,0.1011608623548922,122,2.0,1.0041237288352056,87.32786885245902,8.223572872698067,2.6311475409836067
kinko,0.10613598673300166,128,1.84765625,1.0244233902446367,88.78125,8.832596661204878,1.890625
umegae,0.08374792703150911,101,1.816831683168317,1.006783919908408,86.00990099009901,8.292761963911603,1.9207920792079207
hiroshige,0.04560530679933665,55,1.7454545454545454,1.0177713819215912,85.43636363636364,8.225442994630288,2.7818181818181817
kita,0.06965174129353234,84,1.5297619047619047,0.9421559180692727,84.10714285714286,9.011395539521468,2.261904761904762
daigoro,0.04975124378109453,60,1.6416666666666666,1.0817894257118257,86.6,9.657174377070787,1.8
miyataka,0.014096185737976783,17,0.9705882352941176,0.9432422182837985,75.6470588235294,8.638150673542546,1.6470588235294117
jirocho,0.05970149253731343,72,1.7291666666666667,1.119410999550877,85.16666666666667,10.418023385825434,1.6944444444444444
mitsukuni,0.04477611940298507,54,1.2685185185185186,1.1315082727707768,82.51851851851852,9.27309099662707,1.7962962962962963
satsuki,0.04643449419568822,56,1.3660714285714286,1.109836480292035,83.60714285714286,9.865787664133373,2.1607142857142856
gotozaemon,0.05555555555555555,67,1.4850746268656716,1.1280519184461706,83.6268656716418,9.806979303406328,1.7462686567164178
hirotada,0.1111111111111111,134,2.093283582089552,1.0003155713497687,89.98507462686567,7.9158972765970805,2.029850746268657
nampo,0.01824212271973466,22,1.1818181818181819,1.006472559480393,78.45454545454545,7.817728769718421,1.7727272727272727
sasayakko,0.02404643449419569,29,1.0344827586206897,1.0516231882424716,81.17241379310344,8.868358543227236,1.4827586206896552
1,0.24792703150912107,299,1.5183946488294315,1.0962854142519043,84.57859531772576,9.622558613064262,1.7926421404682273
2,0.2512437810945274,303,1.6947194719471947,1.068066817048069,85.42574257425743,8.674786332067349,2.0066006600660065
3,0.2512437810945274,303,1.7508250825082508,1.0863958484370386,86.71617161716172,9.686405910715221,2.062706270627063
4,0.24958540630182421,301,1.6710963455149501,1.0605635894906391,85.24252491694352,9.338682219860775,2.1362126245847177
