,frequency,count,placement avg,placement std,points avg,points std,achievements avg
all,1.0,156,1.1153846153846154,1.033075823726525,79.0576923076923,8.31573741972093,1.75
zenemon,0.09615384615384616,15,0.9333333333333333,1.2798809468443688,72.53333333333333,11.179488019625603,1.3333333333333333
hiroshige,0.09615384615384616,15,1.2,1.0656989658033291,77.8,9.033271832508971,2.1333333333333333
daigoro,0.07051282051282051,11,1.5,1.0723805294763609,82.72727272727273,6.482143304354032,1.7272727272727273
kinko,0.1282051282051282,20,1.4,1.2732056517228267,82.75,7.751909781670443,1.75
satsuki,0.057692307692307696,9,0.6666666666666666,0.7071067811865476,77.0,8.306623862918075,1.8888888888888888
chuubei,0.07692307692307693,12,0.9583333333333334,0.6200562046860727,79.25,6.06217782649107,2.5
hirotada,0.07692307692307693,12,1.5,0.9045340337332909,82.75,7.0855165975774455,1.4166666666666667
yoshiyasu,0.09615384615384616,15,1.3333333333333333,1.0465362369445672,82.13333333333334,6.162868843400157,1.5333333333333334
gotozaemon,0.03205128205128205,5,0.8,0.8366600265340756,78.0,12.267844146385297,2.6
jirocho,0.04487179487179487,7,0.7142857142857143,0.9511897312113419,74.28571428571429,2.984084768360628,1.4285714285714286
mitsukuni,0.057692307692307696,9,1.1111111111111112,0.8207381501496753,81.44444444444444,6.146362971528592,1.5555555555555556
kita,0.09615384615384616,15,0.6666666666666666,0.8997354108424374,75.33333333333333,8.077010290825141,1.5333333333333334
sasayakko,0.01282051282051282,2,2.5,0.7071067811865476,86.0,1.4142135623730951,2.0
umegae,0.038461538461538464,6,1.1666666666666667,1.1690451944500122,80.0,6.572670690061994,1.8333333333333333
miyataka,0.00641025641025641,1,1.0,,79.0,,3.0
nampo,0.01282051282051282,2,0.0,0.0,70.0,4.242640687119285,1.0
1,0.2564102564102564,40,1.35,1.098950548337962,79.925,8.4166730134528,1.775
2,0.23717948717948717,37,1.054054054054054,1.025939838661387,79.16216216216216,9.090634721494402,1.6486486486486487
3,0.27564102564102566,43,1.0,0.944911182523068,77.86046511627907,8.472873789612736,1.7674418604651163
4,0.23076923076923078,36,1.0555555555555556,1.067559150437361,79.41666666666667,7.307041613598293,1.8055555555555556
