,frequency,count,placement avg,placement std,points avg,points std,achievements avg
all,1.0,232,1.6573275862068966,1.090112077925553,86.21982758620689,8.495934549315262,2.081896551724138
yoshiyasu,0.08620689655172414,20,1.525,0.9662052740380522,84.7,8.033482563948413,2.15
satsuki,0.03017241379310345,7,0.7142857142857143,0.7559289460184544,78.14285714285714,5.047394424471944,1.8571428571428572
hirotada,0.16810344827586207,39,1.8717948717948718,1.1280977743059606,89.0,8.500773958572056,1.8717948717948718
sasayakko,0.04310344827586207,10,1.4,1.1737877907772674,84.7,7.746683878351505,1.9
kinko,0.11206896551724138,26,2.0,0.8944271909999159,87.73076923076923,7.555436147874945,2.230769230769231
umegae,0.09482758620689655,22,1.6818181818181819,0.8387271329003273,85.9090909090909,7.945703186892847,1.5454545454545454
gotozaemon,0.06896551724137931,16,1.1875,1.1672617529928753,84.125,10.588515791491584,2.0625
jirocho,0.04741379310344827,11,2.0454545454545454,1.1057699908784253,88.27272727272727,7.15668790839602,1.9090909090909092
zenemon,0.06465517241379311,15,1.3333333333333333,1.2344267996967353,83.26666666666667,8.932018382255624,1.6666666666666667
chuubei,0.08620689655172414,20,2.2,0.8944271909999161,89.3,7.064365729341505,2.8
hiroshige,0.034482758620689655,8,1.625,1.1877349391654208,87.25,6.649382355849731,2.875
kita,0.04741379310344827,11,1.5909090909090908,1.157976291168818,86.27272727272727,9.17704646485904,2.4545454545454546
mitsukuni,0.05603448275862069,13,1.4615384615384615,1.126601424298216,84.53846153846153,8.140591549097078,2.230769230769231
daigoro,0.04741379310344827,11,1.5454545454545454,1.3684762594679063,87.27272727272727,9.80908669643519,2.1818181818181817
miyataka,0.008620689655172414,2,0.5,0.7071067811865476,75.0,1.4142135623730951,2.0
nampo,0.004310344827586207,1,0.0,,65.0,,1.0
1,0.23275862068965517,54,1.6018518518518519,1.1466918358117237,86.16666666666667,7.904500748021452,1.7962962962962963
2,0.2672413793103448,62,1.7983870967741935,1.045911938035827,86.93548387096774,8.222063415664646,2.0161290322580645
3,0.2413793103448276,56,1.6339285714285714,1.1098364802920355,86.10714285714286,8.527343338671454,2.25
4,0.25862068965517243,60,1.5833333333333333,1.0781601822229727,85.63333333333334,9.375349334357782,2.25
