,frequency,count,placement avg,placement std,points avg,points std,achievements avg
all,1.0,335,1.8014925373134327,1.0631965891685273,87.24776119402985,8.12964483924495,2.035820895522388
zenemon,0.056716417910447764,19,1.5263157894736843,1.1722922015640782,84.89473684210526,8.875025739193383,1.8421052631578947
kinko,0.12238805970149254,41,1.975609756097561,0.9871120726150798,88.46341463414635,8.136638006497554,2.024390243902439
hirotada,0.14328358208955225,48,2.0208333333333335,1.0815588303675856,90.16666666666667,8.067094531762793,1.875
yoshiyasu,0.09850746268656717,33,1.893939393939394,1.0588730430094635,88.18181818181819,7.7759828376166755,1.878787878787879
sasayakko,0.029850746268656716,10,1.4,1.1737877907772674,85.3,6.929005059249929,1.8
umegae,0.09253731343283582,31,1.935483870967742,0.8920195764282209,86.54838709677419,7.4513475724301905,1.6129032258064515
gotozaemon,0.050746268656716415,17,1.411764705882353,1.175735064194511,84.58823529411765,10.167711293166052,2.0
jirocho,0.04477611940298507,15,1.9,1.0035650736961992,87.93333333333334,7.185965157033203,1.7333333333333334
mitsukuni,0.056716417910447764,19,1.4210526315789473,1.0173926082384546,85.3157894736842,6.4983128714643,2.0526315789473686
chuubei,0.10149253731343283,34,2.0294117647058822,1.0294244969928166,87.26470588235294,7.867496708377322,2.6176470588235294
satsuki,0.05373134328358209,18,1.6666666666666667,1.2366938848016846,86.88888888888889,8.519105786330675,2.4444444444444446
hiroshige,0.03582089552238806,12,1.9166666666666667,0.90033663737852,89.25,6.224949798994366,2.9166666666666665
kita,0.05373134328358209,18,1.6388888888888888,1.108862102968035,86.55555555555556,8.95230645418672,2.388888888888889
daigoro,0.04776119402985075,16,1.625,1.0878112581387147,86.125,8.123012577445227,1.75
nampo,0.008955223880597015,3,0.6666666666666666,1.1547005383792517,74.66666666666667,8.386497083606084,1.6666666666666667
miyataka,0.0029850746268656717,1,1.0,,74.0,,1.0
1,0.2417910447761194,81,1.623456790123457,1.1278598765957444,86.66666666666667,8.133265027035575,1.7777777777777777
2,0.2626865671641791,88,1.8352272727272727,1.0442001583709435,87.19318181818181,8.031343705363918,2.0113636363636362
3,0.22686567164179106,76,1.8486842105263157,1.048871574096356,87.51315789473684,7.243375679064988,2.1315789473684212
4,0.26865671641791045,90,1.8888888888888888,1.0325537714261626,87.6,8.989132014940179,2.2111111111111112
