,table_id,traveler,position,placement,points,achievements
149,191544759,umegae,4,0.0,80,1
150,191492722,umegae,3,2.0,87,1
151,191492722,kinko,1,1.0,84,1
152,191252669,zenemon,4,2.0,88,2
153,191252669,sasayakko,2,0.0,70,2
154,189591229,jirocho,3,2.0,91,2
155,189591229,kita,1,1.0,88,2
156,189567350,umegae,1,2.0,90,2
157,189567350,yoshiyasu,2,1.0,78,1
158,187282089,hirotada,2,0.0,78,1
159,187242551,chuubei,3,2.0,89,2
160,187242551,hirotada,4,1.0,85,0
161,185849773,gotozaemon,2,1.0,75,2
162,185422585,yoshiyasu,2,1.0,85,1
163,185422585,kita,3,0.0,73,1
164,185367063,zenemon,1,0.0,70,2
165,186815978,kita,1,1.0,75,1
166,186815978,mitsukuni,3,0.0,72,2
167,185346856,kita,4,0.0,68,1
168,194268229,yoshiyasu,3,3.0,89,1
169,194268229,jirocho,2,0.0,61,0
170,193822005,kinko,2,3.0,87,2
171,193822005,hiroshige,3,1.0,81,3
172,193815857,hirotada,4,3.0,94,3
173,193815857,yoshiyasu,2,1.0,79,1
174,193802809,kinko,4,2.0,86,3
175,193802809,sasayakko,2,0.0,74,1
176,193803541,chuubei,1,3.0,100,4
177,193803541,daigoro,4,1.0,82,1
178,190039027,kita,1,2.0,91,2
179,190034163,hirotada,1,3.0,95,4
180,185418394,gotozaemon,4,0.0,74,1
181,186548456,sasayakko,4,0.0,82,0
182,186267251,yoshiyasu,1,2.0,82,1
183,186267251,kinko,3,1.0,78,1
184,191239114,hiroshige,2,3.0,89,3
185,191239114,hirotada,3,0.0,72,1
186,187473361,chuubei,4,1.0,77,1
187,187235507,kinko,4,1.0,81,1
188,186674621,chuubei,1,3.0,90,2
189,186666670,kinko,2,0.0,74,1
190,186672808,umegae,1,1.0,74,1
191,185697715,sasayakko,1,1.0,80,1
192,185874959,hirotada,3,3.0,103,2
193,186785186,hiroshige,4,2.0,92,3
194,186785186,umegae,3,0.0,69,1
195,185460895,kinko,1,2.0,90,2
196,185665488,kinko,3,2.0,86,2
197,185665488,zenemon,2,1.0,76,3
198,185420982,kinko,3,2.0,80,3
199,185420982,kita,1,0.0,68,1
200,193032833,umegae,3,2.0,94,2
201,193032833,daigoro,1,1.0,69,3
202,193032833,kita,2,0.0,63,0
203,192223653,hirotada,2,1.0,88,2
204,192223653,kinko,1,0.0,86,1
205,192124831,yoshiyasu,2,3.0,97,2
206,192124831,nampo,1,0.0,80,2
207,190088428,yoshiyasu,2,3.0,86,3
208,190088428,kinko,4,2.0,86,2
209,188680967,hirotada,3,3.0,99,3
210,188680967,umegae,4,1.0,80,2
211,188680967,gotozaemon,2,0.0,68,1
212,185461421,chuubei,2,3.0,93,3
213,185461421,zenemon,4,0.0,68,2
214,189793027,kinko,3,0.0,80,1
215,188592126,jirocho,1,1.0,78,0
216,188592126,satsuki,4,0.0,74,3
217,187554297,satsuki,4,1.0,72,2
218,187554297,gotozaemon,2,0.0,72,1
219,187943887,kita,1,0.0,85,3
220,194490734,zenemon,3,2.0,85,1
221,186839460,zenemon,2,3.0,89,4
222,186839460,yoshiyasu,1,2.0,88,2
223,185675603,kinko,4,3.0,93,2
224,185675603,hirotada,2,1.0,81,1
225,185352817,kinko,1,3.0,95,3
226,194518003,hiroshige,2,3.0,92,3
227,194518003,kinko,3,2.0,87,1
228,194482634,kinko,4,2.0,89,1
229,194482634,yoshiyasu,3,1.0,83,2
230,194482634,zenemon,2,0.0,76,1
231,194117109,hirotada,1,3.0,103,1
232,194117109,gotozaemon,2,0.0,74,0
233,194112521,chuubei,3,2.0,93,3
234,194112521,nampo,2,0.0,73,0
235,194100525,yoshiyasu,4,3.0,103,4
236,194100525,kita,2,0.0,70,0
237,193991364,kinko,4,1.0,89,1
238,193991364,chuubei,1,0.0,79,1
239,193872437,daigoro,2,0.0,65,1
240,193870051,chuubei,3,1.0,91,3
241,193870051,gotozaemon,4,0.0,68,0
242,193742599,kita,3,1.0,79,2
243,193742599,yoshiyasu,4,0.0,74,1
244,193640177,zenemon,4,1.5,88,1
245,193640177,gotozaemon,1,1.5,88,1
246,193640177,kinko,3,0.0,86,1
247,193631576,hirotada,3,3.0,86,1
248,193631576,umegae,2,2.0,76,4
249,193415037,mitsukuni,4,0.0,61,1
250,193181124,yoshiyasu,1,0.0,79,1
251,192965813,gotozaemon,3,3.0,90,1
252,192965813,kita,1,0.0,79,2
253,192953042,yoshiyasu,3,1.0,90,2
254,192953042,zenemon,1,0.0,70,1
255,192701386,kita,3,1.0,84,2
256,192701386,yoshiyasu,1,0.0,78,1
257,192697027,hiroshige,4,1.0,81,2
258,192697027,miyataka,1,0.0,67,1
259,192612041,hirotada,3,3.0,92,1
260,192612041,sasayakko,2,2.0,86,2
261,192612041,satsuki,4,0.0,75,2
262,192606900,hiroshige,3,3.0,92,3
263,192606900,kita,4,2.0,83,2
264,192606900,kinko,2,0.5,83,1
265,192473023,hirotada,2,1.0,87,1
266,192151529,chuubei,3,1.5,79,2
267,192151529,yoshiyasu,4,1.5,79,2
268,192040128,yoshiyasu,3,1.0,90,2
269,192040128,zenemon,2,0.0,74,2
270,191930038,hirotada,1,3.0,91,1
271,191930038,chuubei,2,1.0,79,3
272,191930038,mitsukuni,3,0.0,75,1
273,188319647,chuubei,4,2.0,91,4
274,188319647,sasayakko,1,1.0,82,1
275,190356855,gotozaemon,1,1.0,72,1
276,190356855,zenemon,3,0.0,65,1
277,186902437,daigoro,2,3.0,95,2
278,189700426,chuubei,4,3.0,97,3
279,189700426,kinko,2,2.0,91,2
280,189474030,jirocho,2,3.0,92,3
281,189474030,gotozaemon,3,1.0,85,3
282,189474030,kinko,4,0.0,79,2
283,188425218,daigoro,3,2.0,87,3
284,188425218,kita,4,1.0,86,3
285,185934079,gotozaemon,1,0.0,60,0
286,186882695,yoshiyasu,1,3.0,96,3
287,186882695,kinko,4,1.0,81,2
288,186310378,mitsukuni,3,3.0,95,3
289,186310378,zenemon,2,1.0,82,1
290,186318115,yoshiyasu,3,2.0,84,1
291,186318115,chuubei,2,1.0,83,3
292,186196983,hirotada,1,2.5,87,2
293,186196983,gotozaemon,4,2.5,87,2
294,186196983,sasayakko,3,0.0,76,0
295,185830555,hirotada,3,1.0,83,1
296,194381345,daigoro,2,3.0,86,2
297,194381345,sasayakko,1,2.0,86,1
298,194381345,kinko,4,0.0,82,2
299,194379657,mitsukuni,1,2.0,86,2
300,194379657,hiroshige,2,1.0,80,3
301,194379657,kita,4,0.0,71,2
302,193973338,chuubei,3,3.0,97,3
303,193973338,sasayakko,2,1.0,77,1
304,193973338,umegae,4,0.0,71,1
305,193961605,daigoro,2,3.0,88,3
306,193961605,jirocho,1,1.0,74,1
307,193721559,chuubei,4,2.0,86,3
308,193721559,hirotada,2,1.0,83,1
309,193710902,zenemon,1,3.0,98,3
310,193710902,yoshiyasu,3,0.0,69,1
311,193680419,jirocho,1,3.0,96,1
312,193680419,kita,2,1.0,78,1
313,193042584,hiroshige,4,3.0,90,2
314,193042584,mitsukuni,1,1.0,83,2
315,193042584,kinko,3,0.0,78,1
316,192309094,hirotada,2,3.0,92,2
317,192309094,satsuki,3,2.0,84,1
318,192309094,mitsukuni,4,1.0,83,3
319,190735402,nampo,4,3.0,90,3
320,192246752,kita,3,3.0,88,2
321,192246752,sasayakko,4,1.0,80,1
322,186083739,yoshiyasu,3,3.0,86,1
323,186083739,kita,4,1.0,74,2
324,186083739,nampo,1,0.0,69,1
325,185413526,hirotada,2,2.0,86,2
326,193955052,zenemon,2,2.0,82,2
327,193955052,nampo,4,1.0,81,2
328,193955052,gotozaemon,1,0.0,81,1
329,193912314,kinko,3,3.0,96,3
330,193912314,chuubei,2,1.0,80,2
331,188125377,kinko,3,3.0,89,1
332,188125377,sasayakko,1,1.0,78,2
333,193984857,umegae,3,2.0,91,2
334,193984857,chuubei,2,1.0,87,1
335,186943777,nampo,2,1.0,70,3
336,186943777,miyataka,4,0.0,66,2
337,185695970,hirotada,3,2.0,85,2
338,185695970,mitsukuni,1,0.0,80,1
339,185783779,satsuki,3,2.0,90,2
340,193481617,kinko,3,3.0,102,3
341,193481617,daigoro,4,2.0,81,1
342,193481617,umegae,2,1.0,80,1
343,193481617,jirocho,1,0.0,77,2
344,188746656,kita,3,3.0,89,2
345,188746656,daigoro,1,1.5,87,2
346,188746656,mitsukuni,4,1.5,87,2
347,185899795,chuubei,4,3.0,89,3
348,185899795,daigoro,1,2.0,85,3
349,185899795,umegae,2,0.0,74,0
