,frequency,count,placement avg,placement std,points avg,points std,achievements avg
all,1.0,391,1.604859335038363,1.0968495295249223,76.85677749360613,6.50206664180448,2.020460358056266
kinko,0.16624040920716113,65,1.9076923076923078,1.0341523842481604,79.06153846153846,5.678569700739248,2.1076923076923078
umegae,0.1329923273657289,52,1.3557692307692308,1.1260574048576257,75.92307692307692,7.302554357951029,1.5961538461538463
yoshiyasu,0.1278772378516624,50,1.3,1.0350983390135313,75.52,5.803728569301157,1.96
zenemon,0.10230179028132992,40,1.4125,1.1596169792054352,74.9,6.964378227994523,1.9
chuubei,0.15089514066496162,59,1.805084745762712,1.1142375975207504,77.66101694915254,5.6648041311712936,2.559322033898305
hirotada,0.18414322250639387,72,1.9861111111111112,0.9456059322094666,79.13888888888889,6.318552061706425,1.9583333333333333
mitsukuni,0.058823529411764705,23,1.3043478260869565,1.1051442772406626,75.34782608695652,6.912496560263317,1.8695652173913044
hiroshige,0.030690537084398978,12,1.4166666666666667,0.9962049198956218,73.5,3.89638527122488,2.5
sasayakko,0.023017902813299233,9,0.7777777777777778,1.0929064207170003,71.88888888888889,7.524035560197142,1.7777777777777777
satsuki,0.023017902813299233,9,0.8888888888888888,0.927960727138337,72.22222222222223,4.6844897741850655,1.6666666666666667
1,0.24296675191815856,95,1.4157894736842105,1.1028315383664349,75.29473684210527,6.774284423560012,1.9263157894736842
2,0.2506393861892583,98,1.7244897959183674,1.0407235017579346,77.42857142857143,5.9707189295831435,2.173469387755102
3,0.24808184143222506,97,1.8814432989690721,1.0402653804946456,78.41237113402062,5.862580094192722,2.11340206185567
4,0.25831202046035806,101,1.400990099009901,1.1380241692956226,76.27722772277228,6.988732090846219,1.8712871287128714
